Product,Selling Price,Current stock,SKU,Image _url
4 color DIY CISS ink Tank with switch for Epson L330 / L358 / L130 / L201 / L220 / L365 / L360 / L455 / L1455 (W002-D063),"৳ 1,500.00",4.00 Pieces,7069,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909904/download_4_txteik.jpg
4 Pin AC Adapter Charger For Canon imageFORMULA DR-C240 Scanner (0651C002),"৳ 1,800.00",6.00 Pieces,7070,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909951/download_5_ryxgft.jpg
4 Pin FFC CAble (MBR),৳ 500.00,0.00 Pieces,7071,
4TB Surveillance  HDD,"৳ 10,000.00",0.00 Pieces,7072,
5 Pin Motor Cable for Epson L3110 / L3150 / L6160 / L6170 / L6190 / M2140 / l3115 / l3116 / L3156,৳ 200.00,248.00 Pieces,7073,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761910031/download_6_avg0b4.jpg
500GB/512GB Apacer/HP 2.5 sata,"৳ 6,200.00",0.00 Pieces,7074,
500GB/512GB Apacer/HP NVMe,"৳ 6,310.00",0.00 Pieces,7075,
6 Pin Motor Cable for Epson L4150 / L4156 / L4158 / L4160 / L4163 / L4165 / L4166 / L4168 / L4169 / L5190 / L6168 / L6178 / L6198 / ET2710 (Length-70 CM),৳ 450.00,25.00 Pieces,7076,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761910236/download_7_pctumk.jpg
6*6*5mm Side Push 2 Pin Copper Pin Switch (COM44),৳ 50.00,11.00 Pieces,7077,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761910297/download_8_ssv4ul.jpg
64GB MicroSD Memory Card,৳ 550.00,0.00 Pieces,7078,
664 Ink Black (Copy-Black),৳ 50.00,0.00 Pieces,7079,
664 Ink Black (Original-Black),৳ 0.00,0.00 Pieces,7080,
664 Ink Black (Original-Black),৳ 0.00,-1.00 Pieces,13704,
664 Ink Cyan (Copy-Cyan),৳ 50.00,3.00 Pieces,7081,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761910348/download_9_h0thgg.jpg
664 Ink Cyan (Original-Cyan),৳ 0.00,0.00 Pieces,7082,
664 Ink Magenta (Copy-Magenta),৳ 50.00,-6.00 Pieces,7083,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890141/003_Ink_Magenta_Original-Magenta_rux1a0.jpg
664 Ink Magenta (Original-Magenta),৳ 0.00,-1.00 Pieces,7084,
664 Ink Set (Copy-Set),৳ 200.00,-1.00 Pieces,7085,
664 Ink Set (Original-Set),"৳ 1,350.00",0.00 Pieces,7086,
664 Ink Yellow (Copy-Yellow),৳ 50.00,3.00 Pieces,7087,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890645/003_Ink_Yellow_Original-Yellow_cqskkn.jpg
664 Ink Yellow (Original-Yellow),৳ 0.00,0.00 Pieces,7088,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890645/003_Ink_Yellow_Original-Yellow_cqskkn.jpg
6U Rack,"৳ 8,700.00",0.00 Pieces,7089,
79A Asta Compatible Toner Cartridge,৳ 900.00,0.00 Pieces,7090,
8 Pin FFC Cable (MBR),৳ 500.00,0.00 Pieces,7091,
8 PIN FFC CAble For HP Deskjet Printer (7405576),৳ 500.00,67.00 Pieces,7092,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911131/download_10_qjrr20.jpg
85 Keys Flexible Keyboard,৳ 260.00,14.00 Pieces,7093,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911181/download_11_auj6ze.jpg
a4tech Mouse,৳ 350.00,0.00 Pieces,7094,
a4tech Mouse(Grade-A),৳ 200.00,1.00 Pieces,7095,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911241/download_12_rtxzaz.jpg
a4tech USB keyboard,৳ 550.00,-4.00 Pieces,7096,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911284/download_13_wzvhls.jpg
A4tech USB keyboard M-85,৳ 600.00,0.00 Pieces,7097,
AC Adapter for Epson Workforce DS-530II / DS-410 Document Scanner (A461H),"৳ 1,800.00",3.00 Pieces,7098,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911325/download_5_ugkb0z.jpg
"AC-DC CC CAM ADAPTOR,DC 12V, 2.0 A",৳ 150.00,4.00 Pieces,7099,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911392/download_14_jnegb5.jpg
ACCER ASPIRE 4752/1412LMi/4741/AS5741/7741ZG LAPTOP BATTERY,"৳ 3,000.00",1.00 Pieces,7100,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911433/download_16_sq1krf.jpg
ACCER Z5WAH LAPTOP KEYBOARD,"৳ 2,000.00",0.00 Pieces,7101,
Access Control System (T5S),৳ 0.00,2.00 Pieces,13904,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911519/download_17_gjazvn.jpg
Acer Aspire 5745G Laptop (Core i5) 320GB HDD,"৳ 17,000.00",0.00 Pieces,7102,
ACER Laptop Adapter 19 Volt,৳ 850.00,2.00 Pieces,7103,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911578/download_icpaxh.jpg
Acer Laptop Core 2 Due,"৳ 4,333.00",3.00 Pieces,7104,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911648/download_1_tjpuzn.jpg
Acer TravelMate P446M Battery,"৳ 1,500.00",0.00 Pieces,7105,
Acer Travelmate TMP249-G3-M Core i3,"৳ 38,000.00",0.00 Pieces,7106,
Acer v5-121 battery,"৳ 1,600.00",0.00 Pieces,7107,
ACO 76A for HP M404 / M404dn / M404dw / M404n / M428 / M428fdn / M428fdw,"৳ 2,200.00",0.00 Pieces,7108,
ACO 85A Toner,৳ 850.00,0.00 Pieces,7109,
"ACO HP 107A Black Laser Toner Cartridge With Chip (Compatible Printer: HP Laser 107, MFP 135, MFP 137)","৳ 2,400.00",0.00 Pieces,7110,
Action Camera 4K,"৳ 3,500.00",0.00 Pieces,7111,
